time,beds_used,available_beds,queue_length,queue_full,bed_utilization,system_pressure,over_capacity_pressure
0,0,10,0,False,0.0,0,False
1,1,9,0,False,0.1,1,False
2,2,8,0,False,0.2,2,False
3,2,8,0,False,0.2,2,False
4,3,7,0,False,0.3,3,False
5,3,7,0,False,0.3,3,False
6,4,6,0,False,0.4,4,False
7,4,6,0,False,0.4,4,False
8,5,5,0,False,0.5,5,False
9,5,5,0,False,0.5,5,False
10,5,5,0,False,0.5,5,False
11,6,4,0,False,0.6,6,False
12,6,4,0,False,0.6,6,False
13,7,3,0,False,0.7,7,False
14,7,3,0,False,0.7,7,False
15,8,2,0,False,0.8,8,False
16,8,2,0,False,0.8,8,False
17,9,1,0,False,0.9,9,False
18,9,1,0,False,0.9,9,False
19,8,2,0,False,0.8,8,False
20,9,1,0,False,0.9,9,False
21,10,0,0,False,1.0,10,False
22,9,1,0,False,0.9,9,False
23,10,0,0,False,1.0,10,False
24,9,1,0,False,0.9,9,False
25,10,0,1,False,1.0,11,True
26,10,0,0,False,1.0,10,False
27,9,1,0,False,0.9,9,False
28,8,2,0,False,0.8,8,False
29,7,3,0,False,0.7,7,False
30,8,2,0,False,0.8,8,False
31,9,1,0,False,0.9,9,False
32,9,1,0,False,0.9,9,False
33,9,1,0,False,0.9,9,False
34,9,1,0,False,0.9,9,False
35,10,0,0,False,1.0,10,False
36,10,0,0,False,1.0,10,False
37,10,0,1,False,1.0,11,True
38,10,0,1,False,1.0,11,True
39,10,0,2,False,1.0,12,True
40,10,0,1,False,1.0,11,True
41,10,0,2,False,1.0,12,True
42,10,0,2,False,1.0,12,True
43,10,0,1,False,1.0,11,True
44,10,0,0,False,1.0,10,False
45,10,0,0,False,1.0,10,False
46,10,0,1,False,1.0,11,True
47,10,0,0,False,1.0,10,False
48,10,0,1,False,1.0,11,True
49,10,0,1,False,1.0,11,True
50,10,0,0,False,1.0,10,False
51,10,0,0,False,1.0,10,False
52,10,0,0,False,1.0,10,False
53,10,0,1,False,1.0,11,True
54,10,0,1,False,1.0,11,True
55,10,0,0,False,1.0,10,False
56,9,1,0,False,0.9,9,False
57,9,1,0,False,0.9,9,False
58,9,1,0,False,0.9,9,False
59,10,0,0,False,1.0,10,False
60,10,0,0,False,1.0,10,False
61,10,0,1,False,1.0,11,True
62,10,0,2,False,1.0,12,True
63,10,0,2,False,1.0,12,True
64,10,0,3,False,1.0,13,True
65,10,0,4,False,1.0,14,True
66,10,0,3,False,1.0,13,True
67,10,0,2,False,1.0,12,True
68,10,0,1,False,1.0,11,True
69,10,0,0,False,1.0,10,False
70,10,0,1,False,1.0,11,True
71,10,0,1,False,1.0,11,True
72,10,0,1,False,1.0,11,True
73,9,1,0,False,0.9,9,False
74,9,1,0,False,0.9,9,False
75,10,0,0,False,1.0,10,False
76,10,0,0,False,1.0,10,False
77,9,1,0,False,0.9,9,False
78,10,0,0,False,1.0,10,False
79,10,0,0,False,1.0,10,False
80,10,0,1,False,1.0,11,True
81,10,0,1,False,1.0,11,True
82,9,1,0,False,0.9,9,False
83,9,1,0,False,0.9,9,False
84,8,2,0,False,0.8,8,False
85,8,2,0,False,0.8,8,False
86,9,1,0,False,0.9,9,False
87,8,2,0,False,0.8,8,False
88,9,1,0,False,0.9,9,False
89,9,1,0,False,0.9,9,False
90,9,1,0,False,0.9,9,False
91,10,0,0,False,1.0,10,False
92,10,0,0,False,1.0,10,False
93,9,1,0,False,0.9,9,False
94,10,0,0,False,1.0,10,False
95,10,0,0,False,1.0,10,False
96,10,0,1,False,1.0,11,True
97,10,0,2,False,1.0,12,True
98,10,0,1,False,1.0,11,True
99,9,1,0,False,0.9,9,False
100,9,1,0,False,0.9,9,False
101,9,1,0,False,0.9,9,False
102,10,0,0,False,1.0,10,False
103,9,1,0,False,0.9,9,False
104,10,0,0,False,1.0,10,False
105,9,1,0,False,0.9,9,False
106,10,0,0,False,1.0,10,False
107,10,0,1,False,1.0,11,True
108,10,0,1,False,1.0,11,True
109,10,0,1,False,1.0,11,True
110,10,0,2,False,1.0,12,True
111,10,0,0,False,1.0,10,False
112,10,0,0,False,1.0,10,False
113,9,1,0,False,0.9,9,False
114,10,0,0,False,1.0,10,False
115,10,0,0,False,1.0,10,False
116,10,0,0,False,1.0,10,False
117,10,0,1,False,1.0,11,True
118,10,0,1,False,1.0,11,True
119,10,0,1,False,1.0,11,True
120,10,0,1,False,1.0,11,True
121,10,0,1,False,1.0,11,True
122,10,0,1,False,1.0,11,True
123,10,0,1,False,1.0,11,True
